,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
72,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,65-74 years,1048.084359
73,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,75-84 years,1048.084359
74,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,85 years and over,1048.084359
75,08/12/2020,02/01/2020,08/08/2020,Alaska,Male,All ages,1048.084359
76,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,Under 1 year,0
77,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,1-4 years,0
78,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,5-14 years,0
79,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,15-24 years,0
80,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,25-34 years,1048.084359
81,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,35-44 years,0
82,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,45-54 years,1048.084359
83,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,55-64 years,1048.084359
84,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,65-74 years,1048.084359
85,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,75-84 years,1048.084359
86,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,85 years and over,0
87,08/12/2020,02/01/2020,08/08/2020,Alaska,Female,All ages,1048.084359
88,08/12/2020,02/01/2020,08/08/2020,Alaska,Unknown,All ages,0
89,08/12/2020,02/01/2020,08/08/2020,Alaska Total,All,All ages,17
90,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,Under 1 year,0
91,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,1-4 years,1048.084359
92,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,5-14 years,1048.084359
93,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,15-24 years,11
94,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,25-34 years,40
95,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,35-44 years,77
96,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,45-54 years,168
97,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,55-64 years,356
98,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,65-74 years,485
99,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,75-84 years,574
100,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,85 years and over,426
101,08/12/2020,02/01/2020,08/08/2020,Arizona,Male,All ages,2141
102,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,Under 1 year,0
103,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,1-4 years,0
104,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,5-14 years,0
105,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,15-24 years,1048.084359
106,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,25-34 years,20
107,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,35-44 years,38
108,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,45-54 years,72
109,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,55-64 years,214
110,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,65-74 years,326
111,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,75-84 years,417
112,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,85 years and over,478
113,08/12/2020,02/01/2020,08/08/2020,Arizona,Female,All ages,1569
114,08/12/2020,02/01/2020,08/08/2020,Arizona,Unknown,All ages,0
115,08/12/2020,02/01/2020,08/08/2020,Arizona Total,All,All ages,3710
116,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,Under 1 year,0
117,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,1-4 years,0
118,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,5-14 years,0
119,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,15-24 years,1048.084359
120,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,25-34 years,1048.084359
121,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,35-44 years,1048.084359
122,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,45-54 years,28
123,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,55-64 years,59
124,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,65-74 years,61
125,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,75-84 years,80
126,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,85 years and over,50
127,08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,All ages,289
128,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,Under 1 year,0
129,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,1-4 years,0
130,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,5-14 years,0
131,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,15-24 years,1048.084359
132,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,25-34 years,1048.084359
133,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,35-44 years,1048.084359
134,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,45-54 years,12
135,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,55-64 years,27
136,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,65-74 years,34
137,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,75-84 years,58
138,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,85 years and over,95
139,08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,All ages,241
140,08/12/2020,02/01/2020,08/08/2020,Arkansas,Unknown,All ages,0
141,08/12/2020,02/01/2020,08/08/2020,Arkansas Total,All,All ages,530
142,08/12/2020,02/01/2020,08/08/2020,California,Male,Under 1 year,1048.084359
143,08/12/2020,02/01/2020,08/08/2020,California,Male,1-4 years,0
144,08/12/2020,02/01/2020,08/08/2020,California,Male,5-14 years,0
145,08/12/2020,02/01/2020,08/08/2020,California,Male,15-24 years,1048.084359
146,08/12/2020,02/01/2020,08/08/2020,California,Male,25-34 years,67
147,08/12/2020,02/01/2020,08/08/2020,California,Male,35-44 years,190
148,08/12/2020,02/01/2020,08/08/2020,California,Male,45-54 years,457
149,08/12/2020,02/01/2020,08/08/2020,California,Male,55-64 years,947
150,08/12/2020,02/01/2020,08/08/2020,California,Male,65-74 years,1351
151,08/12/2020,02/01/2020,08/08/2020,California,Male,75-84 years,1284
152,08/12/2020,02/01/2020,08/08/2020,California,Male,85 years and over,1154
153,08/12/2020,02/01/2020,08/08/2020,California,Male,All ages,5460
154,08/12/2020,02/01/2020,08/08/2020,California,Female,Under 1 year,0
155,08/12/2020,02/01/2020,08/08/2020,California,Female,1-4 years,0
156,08/12/2020,02/01/2020,08/08/2020,California,Female,5-14 years,0
157,08/12/2020,02/01/2020,08/08/2020,California,Female,15-24 years,1048.084359
158,08/12/2020,02/01/2020,08/08/2020,California,Female,25-34 years,30
159,08/12/2020,02/01/2020,08/08/2020,California,Female,35-44 years,82
160,08/12/2020,02/01/2020,08/08/2020,California,Female,45-54 years,182
161,08/12/2020,02/01/2020,08/08/2020,California,Female,55-64 years,383
162,08/12/2020,02/01/2020,08/08/2020,California,Female,65-74 years,695
163,08/12/2020,02/01/2020,08/08/2020,California,Female,75-84 years,1009
164,08/12/2020,02/01/2020,08/08/2020,California,Female,85 years and over,1617
165,08/12/2020,02/01/2020,08/08/2020,California,Female,All ages,4007
166,08/12/2020,02/01/2020,08/08/2020,California,Unknown,All ages,0
167,08/12/2020,02/01/2020,08/08/2020,California Total,All,All ages,9467
168,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,Under 1 year,0
169,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,1-4 years,0
170,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,5-14 years,0
171,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,15-24 years,1048.084359
172,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,25-34 years,1048.084359
173,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,35-44 years,17
174,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,45-54 years,61
175,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,55-64 years,126
176,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,65-74 years,222
177,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,75-84 years,273
178,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,85 years and over,281
179,08/12/2020,02/01/2020,08/08/2020,Colorado,Male,All ages,990
180,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,Under 1 year,0
181,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,1-4 years,0
182,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,5-14 years,0
183,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,15-24 years,1048.084359
184,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,25-34 years,1048.084359
185,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,35-44 years,1048.084359
186,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,45-54 years,20
187,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,55-64 years,43
188,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,65-74 years,120
189,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,75-84 years,209
190,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,85 years and over,364
191,08/12/2020,02/01/2020,08/08/2020,Colorado,Female,All ages,766
192,08/12/2020,02/01/2020,08/08/2020,Colorado,Unknown,All ages,0
193,08/12/2020,02/01/2020,08/08/2020,Colorado Total,All,All ages,1756
194,08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,Under 1 year,0
