,State,Sex,Age group,COVID-19 Deaths,Age
129,Colorado,Female,65-74 years,120.0,70
130,Colorado,Female,75-84 years,209.0,80
131,Colorado,Female,85 years and over,364.0,90
132,Connecticut,Male,Under 1 year,0.0,0.5
133,Connecticut,Male,1-4 years,0.0,2.5
134,Connecticut,Male,5-14 years,0.0,10
135,Connecticut,Male,15-24 years,,20
136,Connecticut,Male,25-34 years,,30
137,Connecticut,Male,35-44 years,19.0,40
138,Connecticut,Male,45-54 years,71.0,50
139,Connecticut,Male,55-64 years,224.0,60
140,Connecticut,Male,65-74 years,447.0,70
141,Connecticut,Male,75-84 years,557.0,80
142,Connecticut,Male,85 years and over,701.0,90
143,Connecticut,Female,Under 1 year,0.0,0.5
144,Connecticut,Female,1-4 years,0.0,2.5
145,Connecticut,Female,5-14 years,0.0,10
146,Connecticut,Female,15-24 years,,20
147,Connecticut,Female,25-34 years,,30
148,Connecticut,Female,35-44 years,,40
149,Connecticut,Female,45-54 years,26.0,50
150,Connecticut,Female,55-64 years,121.0,60
151,Connecticut,Female,65-74 years,280.0,70
152,Connecticut,Female,75-84 years,555.0,80
153,Connecticut,Female,85 years and over,1203.0,90
154,Delaware,Male,Under 1 year,0.0,0.5
155,Delaware,Male,1-4 years,0.0,2.5
156,Delaware,Male,5-14 years,0.0,10
157,Delaware,Male,15-24 years,,20
158,Delaware,Male,25-34 years,,30
159,Delaware,Male,35-44 years,,40
160,Delaware,Male,45-54 years,10.0,50
161,Delaware,Male,55-64 years,30.0,60
162,Delaware,Male,65-74 years,69.0,70
163,Delaware,Male,75-84 years,70.0,80
164,Delaware,Male,85 years and over,64.0,90
165,Delaware,Female,Under 1 year,0.0,0.5
166,Delaware,Female,1-4 years,0.0,2.5
167,Delaware,Female,5-14 years,0.0,10
168,Delaware,Female,15-24 years,,20
169,Delaware,Female,25-34 years,,30
170,Delaware,Female,35-44 years,,40
171,Delaware,Female,45-54 years,15.0,50
172,Delaware,Female,55-64 years,22.0,60
173,Delaware,Female,65-74 years,42.0,70
174,Delaware,Female,75-84 years,68.0,80
175,Delaware,Female,85 years and over,129.0,90
176,District of Columbia,Male,Under 1 year,,0.5
177,District of Columbia,Male,1-4 years,0.0,2.5
178,District of Columbia,Male,5-14 years,0.0,10
179,District of Columbia,Male,15-24 years,0.0,20
180,District of Columbia,Male,25-34 years,,30
181,District of Columbia,Male,35-44 years,18.0,40
182,District of Columbia,Male,45-54 years,41.0,50
183,District of Columbia,Male,55-64 years,77.0,60
184,District of Columbia,Male,65-74 years,122.0,70
185,District of Columbia,Male,75-84 years,83.0,80
186,District of Columbia,Male,85 years and over,57.0,90
187,District of Columbia,Female,Under 1 year,0.0,0.5
188,District of Columbia,Female,1-4 years,0.0,2.5
189,District of Columbia,Female,5-14 years,0.0,10
190,District of Columbia,Female,15-24 years,,20
