,index,Confirmed,Deaths,clusters
305,305,221,2,1
306,306,94,0,1
307,307,1052,37,1
308,308,25,0,1
309,309,96,2,1
310,310,148,8,1
311,311,111,2,1
312,312,6,0,1
313,313,96,0,1
314,314,14,1,1
315,315,428,4,1
316,316,174,4,1
317,317,0,0,1
318,318,60,0,1
319,319,4597,149,1
320,320,101,1,1
321,321,19949,1421,0
322,322,14456,1434,0
323,323,1849,140,1
324,324,1560,193,1
325,325,14294,1114,1
326,326,1803,114,1
327,327,0,0,1
328,328,1328,66,1
329,329,135,0,1
330,330,941,15,1
331,331,2898,115,1
332,332,9777,310,1
333,333,0,0,1
334,334,6673,204,1
335,335,482,0,1
336,336,49,0,1
337,337,15050,621,0
338,338,0,0,1
339,339,0,0,1
340,340,7735,49,1
341,341,1426,11,1
342,342,5924,101,1
343,343,1054,8,1
344,344,8578,284,1
345,345,76146,1343,0
346,346,608,10,1
347,347,2978,131,1
348,348,2684,92,1
349,349,4895,95,1
350,350,12565,208,1
351,351,3690,54,1
352,352,1551,24,1
353,353,828,7,1
354,354,29717,362,0
355,355,12103,222,1
356,356,1687,23,1
357,357,604,3,1
358,358,2739,45,1
359,359,505,12,1
360,360,513,4,1
361,361,871,14,1
362,362,840,8,1
363,363,1313,11,1
364,364,2051,42,1
365,365,3064,115,1
366,366,2111,82,1
367,367,41178,614,0
368,368,735,6,1
369,369,3129,115,1
370,370,2768,77,1
371,371,550,8,1
372,372,1232,12,1
373,373,7365,173,1
374,374,20124,462,0
375,375,10204,63,1
376,376,1012,9,1
377,377,497,8,1
378,378,1009,18,1
379,379,11327,282,1
380,380,9541,263,1
381,381,4807,138,1
382,382,167880,3127,2
383,383,1813,22,1
384,384,2053,41,1
385,385,4802,107,1
386,386,1501,24,1
387,387,39412,438,0
388,388,12249,140,1
389,389,0,0,1
390,390,45743,1308,0
391,391,8988,205,1
392,392,21701,736,0
393,393,19452,514,0
394,394,2088,38,1
395,395,5236,74,1
396,396,7948,251,1
397,397,8911,207,1
398,398,5167,69,1
399,399,7875,271,1
400,400,2196,65,1
401,401,2657,66,1
402,402,1307,12,1
403,403,1623,0,1
404,404,903,12,1
405,405,10651,232,1
406,406,1106,9,1
407,407,1915,24,1
408,408,1064,18,1
409,409,1015,26,1
410,410,438,3,1
411,411,596,13,1
412,412,79,4,1
413,413,2078,56,1
414,414,473,7,1
415,415,2124,46,1
416,416,2835,84,1
417,417,751,21,1
418,418,442,12,1
419,419,5995,159,1
420,420,426,19,1
421,421,343,10,1
422,422,515,27,1
423,423,1126,11,1
424,424,2836,27,1
425,425,781,10,1
426,426,631,42,1
427,427,236,8,1
428,428,1250,8,1
429,429,444,18,1
430,430,2682,64,1
431,431,1139,18,1
432,432,622,6,1
433,433,8277,149,1
434,434,1628,1,1
435,435,739,17,1
436,436,5868,91,1
437,437,4939,42,1
438,438,120,2,1
439,439,7086,159,1
440,440,370,6,1
441,441,19283,422,0
442,442,2009,43,1
443,443,1877,33,1
444,444,3661,59,1
445,445,544,13,1
446,446,2546,43,1
447,447,166,5,1
448,448,539,17,1
449,449,278,5,1
450,450,797,7,1
451,451,18302,353,0
452,452,1122,29,1
453,453,415,12,1
454,454,334,14,1
455,455,3128,185,1
456,456,3485,71,1
457,457,477,32,1
458,458,239,2,1
459,459,1403,23,1
460,460,624,3,1
461,461,1015,30,1
462,462,419,6,1
463,463,618,20,1
464,464,1763,49,1
465,465,3069,44,1
466,466,3832,45,1
467,467,735,11,1
468,468,27247,568,0
469,469,801,11,1
470,470,38,2,1
471,471,3428,94,1
472,472,1812,36,1
473,473,754,22,1
474,474,498,23,1
475,475,26931,398,0
476,476,1585,67,1
477,477,8949,148,1
478,478,387,42,1
479,479,454,8,1
480,480,782,21,1
481,481,492,13,1
482,482,189,5,1
483,483,5073,100,1
484,484,3083,80,1
485,485,288,4,1
486,486,1914,31,1
487,487,211,4,1
488,488,708,19,1
489,489,777,25,1
490,490,403,29,1
491,491,414,22,1
492,492,538,8,1
493,493,354,18,1
494,494,296,5,1
495,495,1609,64,1
496,496,690,25,1
497,497,1091,22,1
498,498,213,7,1
499,499,235,3,1
500,500,3848,78,1
501,501,894,14,1
502,502,228,10,1
503,503,678,8,1
504,504,189,8,1
505,505,582,14,1
506,506,286,7,1
507,507,537,13,1
508,508,246,1,1
509,509,780,45,1
510,510,666,50,1
511,511,293,5,1
512,512,476,2,1
513,513,804,5,1
514,514,5920,167,1
515,515,2552,85,1
516,516,725,26,1
517,517,324,11,1
518,518,17364,149,0
519,519,2739,50,1
520,520,662,23,1
521,521,611,10,1
522,522,595,17,1
523,523,316,9,1
524,524,1429,17,1
525,525,311,22,1
526,526,678,23,1
527,527,32,1,1
528,528,327,9,1
529,529,331,28,1
530,530,6956,159,1
531,531,1828,36,1
532,532,104,2,1
533,533,400,10,1
534,534,347,9,1
535,535,1305,59,1
536,536,1030,36,1
537,537,478,14,1
538,538,927,62,1
539,539,162,5,1
540,540,21,0,1
