,State,Confirmed
349,Florida,4895
350,Florida,12565
351,Florida,3690
352,Florida,1551
353,Florida,828
354,Florida,29717
355,Florida,12103
356,Florida,1687
357,Florida,604
358,Florida,2739
359,Florida,505
360,Florida,513
361,Florida,871
362,Florida,840
363,Florida,1313
364,Florida,2051
365,Florida,3064
366,Florida,2111
367,Florida,41178
368,Florida,735
369,Florida,3129
370,Florida,2768
371,Florida,550
372,Florida,1232
373,Florida,7365
374,Florida,20124
375,Florida,10204
376,Florida,1012
377,Florida,497
378,Florida,1009
379,Florida,11327
380,Florida,9541
381,Florida,4807
382,Florida,167880
383,Florida,1813
384,Florida,2053
385,Florida,4802
386,Florida,1501
387,Florida,39412
388,Florida,12249
389,Florida,0
390,Florida,45743
391,Florida,8988
392,Florida,21701
393,Florida,19452
394,Florida,2088
395,Florida,5236
396,Florida,7948
397,Florida,8911
398,Florida,5167
399,Florida,7875
400,Florida,2196
401,Florida,2657
402,Florida,1307
403,Florida,1623
404,Florida,903
405,Florida,10651
406,Florida,1106
407,Florida,1915
408,Florida,1064
409,Georgia,1015
410,Georgia,438
411,Georgia,596
412,Georgia,79
413,Georgia,2078
414,Georgia,473
415,Georgia,2124
416,Georgia,2835
417,Georgia,751
418,Georgia,442
419,Georgia,5995
420,Georgia,426
421,Georgia,343
422,Georgia,515
423,Georgia,1126
424,Georgia,2836
425,Georgia,781
426,Georgia,631
427,Georgia,236
428,Georgia,1250
429,Georgia,444
430,Georgia,2682
431,Georgia,1139
432,Georgia,622
433,Georgia,8277
434,Georgia,1628
435,Georgia,739
436,Georgia,5868
437,Georgia,4939
438,Georgia,120
439,Georgia,7086
440,Georgia,370
441,Georgia,19283
442,Georgia,2009
443,Georgia,1877
444,Georgia,3661
445,Georgia,544
446,Georgia,2546
447,Georgia,166
448,Georgia,539
449,Georgia,278
450,Georgia,797
451,Georgia,18302
452,Georgia,1122
453,Georgia,415
454,Georgia,334
455,Georgia,3128
456,Georgia,3485
457,Georgia,477
458,Georgia,239
459,Georgia,1403
460,Georgia,624
461,Georgia,1015
462,Georgia,419
463,Georgia,618
464,Georgia,1763
465,Georgia,3069
466,Georgia,3832
467,Georgia,735
468,Georgia,27247
469,Georgia,801
470,Georgia,38
471,Georgia,3428
472,Georgia,1812
473,Georgia,754
474,Georgia,498
475,Georgia,26931
476,Georgia,1585
477,Georgia,8949
478,Georgia,387
479,Georgia,454
480,Georgia,782
481,Georgia,492
482,Georgia,189
483,Georgia,5073
484,Georgia,3083
485,Georgia,288
486,Georgia,1914
487,Georgia,211
488,Georgia,708
489,Georgia,777
490,Georgia,403
491,Georgia,414
492,Georgia,538
493,Georgia,354
494,Georgia,296
495,Georgia,1609
496,Georgia,690
497,Georgia,1091
498,Georgia,213
499,Georgia,235
500,Georgia,3848
501,Georgia,894
502,Georgia,228
503,Georgia,678
504,Georgia,189
505,Georgia,582
506,Georgia,286
507,Georgia,537
508,Georgia,246
509,Georgia,780
510,Georgia,666
511,Georgia,293
512,Georgia,476
513,Georgia,804
514,Georgia,5920
515,Georgia,2552
516,Georgia,725
517,Georgia,324
518,Georgia,17364
519,Georgia,2739
520,Georgia,662
521,Georgia,611
522,Georgia,595
523,Georgia,316
524,Georgia,1429
525,Georgia,311
526,Georgia,678
527,Georgia,32
528,Georgia,327
529,Georgia,331
530,Georgia,6956
531,Georgia,1828
532,Georgia,104
533,Georgia,400
534,Georgia,347
535,Georgia,1305
536,Georgia,1030
537,Georgia,478
538,Georgia,927
539,Georgia,162
540,Georgia,21
541,Georgia,804
542,Georgia,207
543,Georgia,383
544,Georgia,327
545,Georgia,1468
546,Georgia,1735
547,Georgia,1284
548,Georgia,319
549,Georgia,250
550,Georgia,2776
551,Georgia,294
552,Georgia,186
553,Georgia,2263
554,Georgia,701
555,Georgia,764
556,Georgia,1496
557,Georgia,1758
558,Georgia,1475
559,Georgia,140
560,Georgia,657
561,Georgia,1100
562,Georgia,43
563,Georgia,326
564,Georgia,761
565,Georgia,4491
566,Georgia,247
567,Georgia,261
568,Georgia,333
569,Georgia,523
570,Grand Princess,103
571,Guam,2235
572,Hawaii,672
573,Hawaii,10546
574,Hawaii,0
575,Hawaii,57
576,Hawaii,386
577,Hawaii,28
578,Hawaii,0
579,Idaho,12520
580,Idaho,28
581,Idaho,942
582,Idaho,39
583,Idaho,139
584,Idaho,841
585,Idaho,642
586,Idaho,67
587,Idaho,309
588,Idaho,2558
589,Idaho,56
590,Idaho,27
591,Idaho,24
592,Idaho,8000
593,Idaho,101
594,Idaho,656
595,Idaho,32
596,Idaho,39
597,Idaho,60
598,Idaho,334
599,Idaho,101
600,Idaho,175
601,Idaho,294
602,Idaho,273
603,Idaho,186
604,Idaho,518
605,Idaho,738
606,Idaho,2542
607,Idaho,345
608,Idaho,83
609,Idaho,14
610,Idaho,88
611,Idaho,571
612,Idaho,648
613,Idaho,420
614,Idaho,23
615,Idaho,0
616,Idaho,324
617,Idaho,853
618,Idaho,218
619,Idaho,215
620,Idaho,151
621,Idaho,2109
622,Idaho,3
623,Idaho,88
624,Idaho,349
625,Illinois,1032
626,Illinois,73
627,Illinois,296
628,Illinois,1074
629,Illinois,43
630,Illinois,597
631,Illinois,47
632,Illinois,217
633,Illinois,389
634,Illinois,4472
635,Illinois,460
636,Illinois,154
637,Illinois,142
638,Illinois,1088
639,Illinois,1396
640,Illinois,140623
641,Illinois,400
642,Illinois,201
643,Illinois,104
644,Illinois,1484
645,Illinois,285
646,Illinois,16955
647,Illinois,111
648,Illinois,64
649,Illinois,836
650,Illinois,373
651,Illinois,99
652,Illinois,505
653,Illinois,153
654,Illinois,69
655,Illinois,216
656,Illinois,645
657,Illinois,67
658,Illinois,199
659,Illinois,37
660,Illinois,64
661,Illinois,636
662,Illinois,359
663,Illinois,1248
664,Illinois,202
665,Illinois,572
666,Illinois,385
667,Illinois,246
668,Illinois,148
669,Illinois,12790
670,Illinois,2676
671,Illinois,1947
672,Illinois,627
673,Illinois,1640
674,Illinois,16545
675,Illinois,251
676,Illinois,347
677,Illinois,348
678,Illinois,440
679,Illinois,1436
680,Illinois,515
681,Illinois,5463
682,Illinois,518
683,Illinois,98
684,Illinois,129
685,Illinois,97
686,Illinois,459
687,Illinois,4463
688,Illinois,3200
689,Illinois,120
690,Illinois,129
691,Illinois,639
692,Illinois,339
693,Illinois,628
694,Illinois,208
695,Illinois,651
696,Illinois,2
697,Illinois,3314
698,Illinois,342
699,Illinois,132
700,Illinois,113
701,Illinois,26
702,Illinois,161
703,Illinois,55
704,Illinois,926
705,Illinois,171
706,Illinois,2869
707,Illinois,299
708,Illinois,2290
709,Illinois,46
710,Illinois,75
711,Illinois,360
712,Illinois,6386
713,Illinois,53
714,Illinois,484
715,Illinois,1657
716,Illinois,2238
717,Illinois,507
718,Illinois,648
719,Illinois,147
720,Illinois,314
721,Illinois,198
722,Illinois,256
723,Illinois,161
724,Illinois,702
725,Illinois,13612
726,Illinois,1351
727,Illinois,5531
728,Illinois,408
729,Indiana,252
730,Indiana,6060
731,Indiana,1153
732,Indiana,88
733,Indiana,113
734,Indiana,956
735,Indiana,103
736,Indiana,271
737,Indiana,1933
738,Indiana,2157
739,Indiana,298
740,Indiana,595
741,Indiana,103
742,Indiana,654
743,Indiana,463
744,Indiana,639
745,Indiana,457
746,Indiana,1895
747,Indiana,959
748,Indiana,6438
749,Indiana,418
750,Indiana,1321
751,Indiana,120
752,Indiana,303
753,Indiana,235
754,Indiana,489
755,Indiana,897
756,Indiana,419
757,Indiana,4761
758,Indiana,914
759,Indiana,564
760,Indiana,2681
761,Indiana,781
762,Indiana,1290
763,Indiana,222
764,Indiana,742
765,Indiana,386
766,Indiana,175
767,Indiana,244
768,Indiana,312
769,Indiana,2279
770,Indiana,503
771,Indiana,1206
772,Indiana,632
773,Indiana,1382
774,Indiana,10334
775,Indiana,506
776,Indiana,1610
777,Indiana,20936
778,Indiana,994
779,Indiana,164
780,Indiana,430
781,Indiana,2512
782,Indiana,505
783,Indiana,706
784,Indiana,172
785,Indiana,894
786,Indiana,77
787,Indiana,286
788,Indiana,0
789,Indiana,167
790,Indiana,96
791,Indiana,215
792,Indiana,141
793,Indiana,2090
794,Indiana,309
795,Indiana,115
796,Indiana,538
797,Indiana,209
798,Indiana,282
799,Indiana,153
800,Indiana,359
801,Indiana,666
802,Indiana,222
803,Indiana,6226
804,Indiana,253
805,Indiana,374
806,Indiana,331
807,Indiana,69
808,Indiana,2312
809,Indiana,220
810,Indiana,0
811,Indiana,77
812,Indiana,3494
813,Indiana,126
814,Indiana,1785
815,Indiana,262
816,Indiana,39
817,Indiana,1223
818,Indiana,261
819,Indiana,747
820,Indiana,250
821,Indiana,482
822,Indiana,255
823,Iowa,68
824,Iowa,33
825,Iowa,252
826,Iowa,129
827,Iowa,74
828,Iowa,302
829,Iowa,4421
830,Iowa,493
831,Iowa,475
832,Iowa,262
833,Iowa,1959
834,Iowa,265
835,Iowa,179
836,Iowa,650
837,Iowa,148
838,Iowa,233
839,Iowa,1017
840,Iowa,222
841,Iowa,240
842,Iowa,262
843,Iowa,309
844,Iowa,237
845,Iowa,1092
846,Iowa,1042
847,Iowa,2741
848,Iowa,122
849,Iowa,66
850,Iowa,365
851,Iowa,751
852,Iowa,503
853,Iowa,2985
854,Iowa,254
855,Iowa,205
856,Iowa,310
857,Iowa,346
858,Iowa,104
859,Iowa,99
860,Iowa,218
861,Iowa,240
862,Iowa,323
863,Iowa,177
864,Iowa,293
865,Iowa,196
866,Iowa,655
867,Iowa,185
868,Iowa,183
869,Iowa,110
870,Iowa,197
871,Iowa,317
872,Iowa,802
873,Iowa,135
874,Iowa,5073
875,Iowa,258
876,Iowa,101
877,Iowa,249
878,Iowa,613
879,Iowa,3878
880,Iowa,426
881,Iowa,153
882,Iowa,280
883,Iowa,209
884,Iowa,368
885,Iowa,746
886,Iowa,1768
887,Iowa,173
888,Iowa,186
889,Iowa,144
890,Iowa,153
891,Iowa,90
892,Iowa,1090
893,Iowa,334
894,Iowa,146
895,Iowa,0
896,Iowa,150
897,Iowa,172
898,Iowa,1091
899,Iowa,156
900,Iowa,15571
901,Iowa,2033
902,Iowa,270
903,Iowa,48
904,Iowa,232
905,Iowa,2875
906,Iowa,250
907,Iowa,1469
908,Iowa,3369
909,Iowa,699
910,Iowa,127
911,Iowa,4
912,Iowa,126
913,Iowa,112
914,Iowa,1296
915,Iowa,945
916,Iowa,449
917,Iowa,84
918,Iowa,1213
919,Iowa,284
920,Iowa,315
921,Iowa,5173
922,Iowa,104
923,Iowa,570
924,Kansas,33
925,Kansas,69
926,Kansas,307
927,Kansas,6
928,Kansas,447
929,Kansas,148
930,Kansas,113
931,Kansas,518
932,Kansas,81
933,Kansas,13
934,Kansas,474
935,Kansas,58
936,Kansas,48
937,Kansas,47
938,Kansas,64
939,Kansas,108
940,Kansas,11
941,Kansas,346
942,Kansas,978
943,Kansas,21
944,Kansas,161
945,Kansas,105
946,Kansas,2138
947,Kansas,47
948,Kansas,1
949,Kansas,926
950,Kansas,32
951,Kansas,2072
952,Kansas,2718
953,Kansas,328
954,Kansas,290
955,Kansas,33
