,State_x,Confirmed,Deaths
287,Colorado,79,3
288,Colorado,255,2
289,Colorado,91,0
290,Colorado,2424,50
291,Colorado,21,0
292,Colorado,9,0
293,Colorado,850,5
294,Colorado,551,7
295,Colorado,20,0
296,Colorado,40,1
297,Colorado,131,5
298,Colorado,373,13
299,Colorado,736,48
300,Colorado,92,6
301,Colorado,25,1
302,Colorado,0,0
303,Colorado,55,1
304,Colorado,34,0
305,Colorado,221,2
306,Colorado,94,0
307,Colorado,1052,37
308,Colorado,25,0
309,Colorado,96,2
310,Colorado,148,8
311,Colorado,111,2
312,Colorado,6,0
313,Colorado,96,0
314,Colorado,14,1
315,Colorado,428,4
316,Colorado,174,4
317,Colorado,0,0
318,Colorado,60,0
319,Colorado,4597,149
320,Colorado,101,1
321,Connecticut,19949,1421
322,Connecticut,14456,1434
323,Connecticut,1849,140
324,Connecticut,1560,193
325,Connecticut,14294,1114
326,Connecticut,1803,114
327,Connecticut,0,0
328,Connecticut,1328,66
329,Connecticut,135,0
330,Connecticut,941,15
331,Delaware,2898,115
332,Delaware,9777,310
333,Delaware,0,0
334,Delaware,6673,204
335,Delaware,482,0
336,Diamond Princess,49,0
337,District of Columbia,15050,621
338,District of Columbia,0,0
339,District of Columbia,0,0
340,Florida,7735,49
341,Florida,1426,11
342,Florida,5924,101
343,Florida,1054,8
344,Florida,8578,284
345,Florida,76146,1343
346,Florida,608,10
347,Florida,2978,131
348,Florida,2684,92
349,Florida,4895,95
350,Florida,12565,208
351,Florida,3690,54
352,Florida,1551,24
353,Florida,828,7
354,Florida,29717,362
355,Florida,12103,222
356,Florida,1687,23
357,Florida,604,3
358,Florida,2739,45
359,Florida,505,12
360,Florida,513,4
361,Florida,871,14
362,Florida,840,8
363,Florida,1313,11
364,Florida,2051,42
365,Florida,3064,115
366,Florida,2111,82
367,Florida,41178,614
368,Florida,735,6
369,Florida,3129,115
370,Florida,2768,77
371,Florida,550,8
372,Florida,1232,12
373,Florida,7365,173
374,Florida,20124,462
375,Florida,10204,63
376,Florida,1012,9
377,Florida,497,8
378,Florida,1009,18
379,Florida,11327,282
380,Florida,9541,263
381,Florida,4807,138
382,Florida,167880,3127
383,Florida,1813,22
384,Florida,2053,41
385,Florida,4802,107
386,Florida,1501,24
387,Florida,39412,438
388,Florida,12249,140
389,Florida,0,0
390,Florida,45743,1308
391,Florida,8988,205
392,Florida,21701,736
393,Florida,19452,514
394,Florida,2088,38
395,Florida,5236,74
396,Florida,7948,251
397,Florida,8911,207
398,Florida,5167,69
399,Florida,7875,271
400,Florida,2196,65
401,Florida,2657,66
402,Florida,1307,12
403,Florida,1623,0
404,Florida,903,12
405,Florida,10651,232
406,Florida,1106,9
407,Florida,1915,24
408,Florida,1064,18
409,Georgia,1015,26
410,Georgia,438,3
411,Georgia,596,13
412,Georgia,79,4
413,Georgia,2078,56
414,Georgia,473,7
415,Georgia,2124,46
416,Georgia,2835,84
417,Georgia,751,21
418,Georgia,442,12
419,Georgia,5995,159
420,Georgia,426,19
421,Georgia,343,10
422,Georgia,515,27
423,Georgia,1126,11
424,Georgia,2836,27
425,Georgia,781,10
426,Georgia,631,42
427,Georgia,236,8
428,Georgia,1250,8
429,Georgia,444,18
430,Georgia,2682,64
431,Georgia,1139,18
432,Georgia,622,6
433,Georgia,8277,149
434,Georgia,1628,1
435,Georgia,739,17
436,Georgia,5868,91
437,Georgia,4939,42
438,Georgia,120,2
439,Georgia,7086,159
440,Georgia,370,6
441,Georgia,19283,422
442,Georgia,2009,43
443,Georgia,1877,33
444,Georgia,3661,59
445,Georgia,544,13
446,Georgia,2546,43
447,Georgia,166,5
448,Georgia,539,17
449,Georgia,278,5
450,Georgia,797,7
451,Georgia,18302,353
452,Georgia,1122,29
453,Georgia,415,12
454,Georgia,334,14
455,Georgia,3128,185
456,Georgia,3485,71
457,Georgia,477,32
458,Georgia,239,2
459,Georgia,1403,23
460,Georgia,624,3
461,Georgia,1015,30
462,Georgia,419,6
463,Georgia,618,20
464,Georgia,1763,49
465,Georgia,3069,44
466,Georgia,3832,45
467,Georgia,735,11
468,Georgia,27247,568
469,Georgia,801,11
470,Georgia,38,2
471,Georgia,3428,94
472,Georgia,1812,36
473,Georgia,754,22
474,Georgia,498,23
475,Georgia,26931,398
476,Georgia,1585,67
477,Georgia,8949,148
478,Georgia,387,42
479,Georgia,454,8
480,Georgia,782,21
481,Georgia,492,13
482,Georgia,189,5
483,Georgia,5073,100
484,Georgia,3083,80
485,Georgia,288,4
486,Georgia,1914,31
487,Georgia,211,4
488,Georgia,708,19
489,Georgia,777,25
490,Georgia,403,29
491,Georgia,414,22
492,Georgia,538,8
493,Georgia,354,18
494,Georgia,296,5
495,Georgia,1609,64
496,Georgia,690,25
497,Georgia,1091,22
498,Georgia,213,7
499,Georgia,235,3
500,Georgia,3848,78
501,Georgia,894,14
502,Georgia,228,10
503,Georgia,678,8
504,Georgia,189,8
505,Georgia,582,14
506,Georgia,286,7
507,Georgia,537,13
508,Georgia,246,1
509,Georgia,780,45
510,Georgia,666,50
511,Georgia,293,5
512,Georgia,476,2
513,Georgia,804,5
514,Georgia,5920,167
515,Georgia,2552,85
516,Georgia,725,26
517,Georgia,324,11
518,Georgia,17364,149
519,Georgia,2739,50
520,Georgia,662,23
521,Georgia,611,10
522,Georgia,595,17
523,Georgia,316,9
524,Georgia,1429,17
525,Georgia,311,22
526,Georgia,678,23
527,Georgia,32,1
528,Georgia,327,9
529,Georgia,331,28
530,Georgia,6956,159
531,Georgia,1828,36
532,Georgia,104,2
533,Georgia,400,10
534,Georgia,347,9
535,Georgia,1305,59
536,Georgia,1030,36
537,Georgia,478,14
538,Georgia,927,62
539,Georgia,162,5
540,Georgia,21,0
541,Georgia,804,10
542,Georgia,207,10
543,Georgia,383,18
544,Georgia,327,31
545,Georgia,1468,62
546,Georgia,1735,56
547,Georgia,1284,44
548,Georgia,319,9
549,Georgia,250,8
550,Georgia,2776,95
551,Georgia,294,22
552,Georgia,186,7
553,Georgia,2263,6
554,Georgia,701,18
555,Georgia,764,61
556,Georgia,1496,31
557,Georgia,1758,53
558,Georgia,1475,56
559,Georgia,140,5
560,Georgia,657,8
561,Georgia,1100,28
562,Georgia,43,2
563,Georgia,326,11
564,Georgia,761,19
565,Georgia,4491,61
566,Georgia,247,20
567,Georgia,261,5
568,Georgia,333,18
569,Georgia,523,30
570,Grand Princess,103,3
571,Guam,2235,37
572,Hawaii,672,15
573,Hawaii,10546,97
574,Hawaii,0,0
575,Hawaii,57,0
576,Hawaii,386,9
577,Hawaii,28,1
578,Hawaii,0,0
579,Idaho,12520,147
580,Idaho,28,1
581,Idaho,942,4
582,Idaho,39,1
583,Idaho,139,3
584,Idaho,841,10
585,Idaho,642,6
586,Idaho,67,1
587,Idaho,309,0
588,Idaho,2558,16
589,Idaho,56,1
590,Idaho,27,0
591,Idaho,24,0
592,Idaho,8000,100
593,Idaho,101,0
594,Idaho,656,5
595,Idaho,32,0
596,Idaho,39,0
597,Idaho,60,1
598,Idaho,334,3
599,Idaho,101,0
600,Idaho,175,3
601,Idaho,294,2
602,Idaho,273,1
603,Idaho,186,0
604,Idaho,518,1
605,Idaho,738,7
606,Idaho,2542,35
607,Idaho,345,0
608,Idaho,83,0
609,Idaho,14,0
610,Idaho,88,0
611,Idaho,571,1
612,Idaho,648,8
613,Idaho,420,24
614,Idaho,23,0
615,Idaho,0,0
616,Idaho,324,5
617,Idaho,853,7
618,Idaho,218,1
619,Idaho,215,18
620,Idaho,151,0
621,Idaho,2109,35
622,Idaho,3,0
623,Idaho,88,1
624,Idaho,349,6
625,Illinois,1032,10
626,Illinois,73,1
627,Illinois,296,4
628,Illinois,1074,23
629,Illinois,43,0
630,Illinois,597,11
631,Illinois,47,0
632,Illinois,217,4
633,Illinois,389,11
634,Illinois,4472,20
635,Illinois,460,11
636,Illinois,154,2
637,Illinois,142,0
638,Illinois,1088,20
639,Illinois,1396,30
640,Illinois,140623,5180
641,Illinois,400,2
642,Illinois,201,4
643,Illinois,104,1
644,Illinois,1484,38
645,Illinois,285,7
646,Illinois,16955,551
647,Illinois,111,7
