Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Total Cases/1M pop,Deaths /1M pop,Total Tests,Tests /1M pop,Continent,Date
World,1741818,42983.0,106694,4010.0,393456.0,1241668.0,50130.0,223.0,13.7,,,All,04-11-2020
USA,508575,5699.0,19833 ,1086.0,28224.0,460518.0,10947.0,1536.0,60.0,2578931.0,7791.0,North America,04-11-2020
Spain,161852,3579.0,16353 ,272.0,59109.0,86390.0,7371.0,3462.0,350.0,355000.0,7593.0,Europe,04-11-2020
Italy,152271,4694.0,19468 ,619.0,32534.0,100269.0,3381.0,2518.0,322.0,963473.0,15935.0,Europe,04-11-2020
France,124869,,13197 ,,24932.0,86740.0,7004.0,1913.0,202.0,333807.0,5114.0,Europe,04-11-2020
Germany,123826,1655.0,2736 ,,53913.0,67177.0,4895.0,1478.0,33.0,1317887.0,15730.0,Europe,04-11-2020
China,81953,46.0,3339 ,3.0,77525.0,1089.0,141.0,57.0,2.0,,,Asia,04-11-2020
UK,78991,5233.0,9875 ,917.0,344.0,68772.0,1559.0,1164.0,145.0,334974.0,4934.0,Europe,04-11-2020
Iran,70029,1837.0,4357 ,125.0,41947.0,23725.0,3987.0,834.0,52.0,251703.0,2997.0,Asia,04-11-2020
Turkey,52167,5138.0,1101 ,95.0,2965.0,48101.0,1626.0,619.0,13.0,340380.0,4036.0,Asia,04-11-2020
Belgium,28018,1351.0,3346 ,327.0,5986.0,18686.0,1262.0,2418.0,289.0,102151.0,8814.0,Europe,04-11-2020
Switzerland,25071,520.0,1036 ,34.0,11100.0,12935.0,386.0,2897.0,120.0,190000.0,21954.0,Europe,04-11-2020
Netherlands,24413,1316.0,2643 ,132.0,250.0,21520.0,1384.0,1425.0,154.0,101534.0,5926.0,Europe,04-11-2020
Canada,22575,427.0,569 ,,6013.0,15993.0,557.0,598.0,15.0,401552.0,10639.0,North America,04-11-2020
Brazil,20022,233.0,1075 ,7.0,173.0,18774.0,296.0,94.0,5.0,62985.0,296.0,South America,04-11-2020
Portugal,15987,515.0,470 ,35.0,266.0,15251.0,233.0,1568.0,46.0,140863.0,13815.0,Europe,04-11-2020
Austria,13798,238.0,337 ,18.0,6604.0,6857.0,246.0,1532.0,37.0,140975.0,15653.0,Europe,04-11-2020
Russia,13584,1667.0,106 ,12.0,1045.0,12433.0,8.0,93.0,0.7,1184442.0,8116.0,Europe,04-11-2020
Israel,10525,117.0,96 ,1.0,1258.0,9171.0,180.0,1216.0,11.0,117339.0,13557.0,Asia,04-11-2020
S. Korea,10480,30.0,211 ,3.0,7243.0,3026.0,55.0,204.0,4.0,510479.0,9957.0,Asia,04-11-2020
Sweden,10151,466.0,887 ,17.0,381.0,8883.0,774.0,1005.0,88.0,54700.0,5416.0,Europe,04-11-2020
India,8339,739.0,249 ,,774.0,7316.0,,6.0,0.2,189111.0,137.0,Asia,04-11-2020
Ireland,8089,,287 ,,25.0,7777.0,194.0,1638.0,58.0,53000.0,10734.0,Europe,04-11-2020
Ecuador,7257,96.0,315 ,18.0,411.0,6531.0,184.0,411.0,18.0,21568.0,1222.0,South America,04-11-2020
Chile,6927,426.0,73 ,8.0,1864.0,4990.0,383.0,362.0,4.0,76374.0,3995.0,South America,04-11-2020
Norway,6403,89.0,117 ,4.0,32.0,6254.0,67.0,1181.0,22.0,124279.0,22924.0,Europe,04-11-2020
Poland,6356,401.0,208 ,27.0,375.0,5773.0,160.0,168.0,5.0,129560.0,3423.0,Europe,04-11-2020
Australia,6303,65.0,56 ,2.0,3265.0,2982.0,80.0,247.0,2.0,351380.0,13780.0,Australia/Oceania,04-11-2020
Japan,6005,,99 ,,762.0,5144.0,109.0,47.0,0.8,64387.0,509.0,Asia,04-11-2020
Denmark,5996,177.0,260 ,13.0,1955.0,3781.0,106.0,1035.0,45.0,67771.0,11700.0,Europe,04-11-2020
Romania,5990,523.0,290 ,20.0,758.0,4942.0,208.0,311.0,15.0,59272.0,3081.0,Europe,04-11-2020
Peru,5897,,169 ,,1569.0,4159.0,130.0,179.0,5.0,56681.0,1719.0,South America,04-11-2020
Czechia,5831,99.0,129 ,10.0,411.0,5291.0,92.0,544.0,12.0,120285.0,11232.0,Europe,04-11-2020
Pakistan,4970,275.0,77 ,11.0,762.0,4131.0,50.0,22.0,0.3,57836.0,262.0,Asia,04-11-2020
Malaysia,4530,184.0,73 ,3.0,1995.0,2462.0,72.0,140.0,2.0,71897.0,2221.0,Asia,04-11-2020
Philippines,4428,233.0,247 ,26.0,157.0,4024.0,1.0,40.0,2.0,24500.0,224.0,Asia,04-11-2020
Saudi Arabia,4033,382.0,52 ,5.0,720.0,3261.0,57.0,116.0,1.0,115585.0,3320.0,Asia,04-11-2020
Mexico,3844,403.0,233 ,39.0,633.0,2978.0,89.0,30.0,2.0,31492.0,244.0,North America,04-11-2020
Indonesia,3842,330.0,327 ,21.0,286.0,3229.0,,14.0,1.0,19452.0,71.0,Asia,04-11-2020
UAE,3736,376.0,20 ,4.0,588.0,3128.0,1.0,378.0,2.0,648195.0,65538.0,Asia,04-11-2020
Serbia,3380,275.0,74 ,3.0,118.0,3188.0,145.0,387.0,8.0,16399.0,1877.0,Europe,04-11-2020
Luxembourg,3270,47.0,62 ,8.0,500.0,2708.0,30.0,5224.0,99.0,28965.0,46272.0,Europe,04-11-2020
Panama,2974,,74 ,,17.0,2883.0,104.0,689.0,17.0,11776.0,2729.0,North America,04-11-2020
Finland,2905,136.0,49 ,1.0,300.0,2556.0,80.0,524.0,9.0,44354.0,8005.0,Europe,04-11-2020
Qatar,2728,216.0,6 ,,247.0,2475.0,37.0,947.0,2.0,47751.0,16574.0,Asia,04-11-2020
Dominican Republic,2620,,126 ,,98.0,2396.0,147.0,242.0,12.0,7936.0,732.0,North America,04-11-2020
Thailand,2518,45.0,35 ,2.0,1135.0,1348.0,61.0,36.0,0.5,71860.0,1030.0,Asia,04-11-2020
Ukraine,2511,308.0,73 ,4.0,79.0,2359.0,45.0,57.0,2.0,26577.0,608.0,Europe,04-11-2020
Colombia,2473,,80 ,,197.0,2196.0,85.0,49.0,2.0,37593.0,739.0,South America,04-11-2020
Singapore,2299,191.0,8 ,1.0,528.0,1763.0,31.0,393.0,1.0,72680.0,12423.0,Asia,04-11-2020
Belarus,2226,245.0,23 ,4.0,172.0,2031.0,72.0,236.0,2.0,53000.0,5609.0,Europe,04-11-2020
Greece,2081,70.0,93 ,1.0,269.0,1719.0,75.0,200.0,9.0,37344.0,3583.0,Europe,04-11-2020
South Africa,2003,,24 ,,410.0,1569.0,7.0,34.0,0.4,73028.0,1231.0,Africa,04-11-2020
Argentina,1975,,83 ,1.0,440.0,1452.0,115.0,44.0,2.0,16379.0,362.0,South America,04-11-2020
Algeria,1825,64.0,275 ,19.0,460.0,1090.0,46.0,42.0,6.0,3359.0,77.0,Africa,04-11-2020
Egypt,1794,,135 ,,384.0,1275.0,,18.0,1.0,25000.0,244.0,Africa,04-11-2020
Iceland,1689,14.0,7 ,,841.0,841.0,11.0,4950.0,21.0,34635.0,101497.0,Europe,04-11-2020
Moldova,1560,122.0,30 ,1.0,75.0,1455.0,80.0,387.0,7.0,6271.0,1555.0,Europe,04-11-2020
Croatia,1534,39.0,21 ,,323.0,1190.0,32.0,374.0,5.0,15691.0,3822.0,Europe,04-11-2020
Morocco,1527,79.0,110 ,3.0,141.0,1276.0,1.0,41.0,3.0,7734.0,210.0,Africa,04-11-2020
Iraq,1318,39.0,72 ,2.0,601.0,645.0,,33.0,2.0,33889.0,843.0,Asia,04-11-2020
New Zealand,1312,29.0,4 ,2.0,422.0,886.0,5.0,272.0,0.8,58746.0,12182.0,Australia/Oceania,04-11-2020
Hungary,1310,120.0,85 ,8.0,115.0,1110.0,17.0,136.0,9.0,31961.0,3308.0,Europe,04-11-2020
Estonia,1304,46.0,24 ,,93.0,1187.0,11.0,983.0,18.0,29456.0,22205.0,Europe,04-11-2020
Slovenia,1188,28.0,50 ,5.0,148.0,990.0,37.0,571.0,24.0,34279.0,16489.0,Europe,04-11-2020
Kuwait,1154,161.0,1 ,,133.0,1020.0,27.0,270.0,0.2,,,Asia,04-11-2020
Azerbaijan,1058,67.0,11 ,1.0,200.0,847.0,27.0,104.0,1.0,61342.0,6050.0,Asia,04-11-2020
Lithuania,1026,27.0,23 ,1.0,54.0,949.0,14.0,377.0,8.0,38472.0,14132.0,Europe,04-11-2020
Bahrain,1016,91.0,6 ,,551.0,459.0,3.0,597.0,4.0,60425.0,35511.0,Asia,04-11-2020
Hong Kong,1001,11.0,4 ,,336.0,661.0,14.0,134.0,0.5,96709.0,12900.0,Asia,04-11-2020
Armenia,977,40.0,13 ,1.0,173.0,791.0,30.0,330.0,4.0,6484.0,2188.0,Asia,04-11-2020
Bosnia and Herzegovina,935,34.0,37 ,1.0,139.0,759.0,4.0,285.0,11.0,6911.0,2106.0,Europe,04-11-2020
Kazakhstan,859,47.0,10 ,,81.0,768.0,21.0,46.0,0.5,61955.0,3300.0,Asia,04-11-2020
Cameroon,820,,12 ,,98.0,710.0,,31.0,0.5,,,Africa,04-11-2020
North Macedonia,760,49.0,34  ,2.0,41.0,685.0,15.0,365.0,16.0,7653.0,3673.0,Europe,04-11-2020
Uzbekistan,729,105.0,3 ,,42.0,684.0,8.0,22.0,0.09,70000.0,2091.0,Asia,04-11-2020
Slovakia,728,13.0,2 ,,23.0,703.0,5.0,133.0,0.4,25846.0,4734.0,Europe,04-11-2020
Diamond Princess,712,,11 ,,619.0,82.0,10.0,,,,,,04-11-2020
Tunisia,685,14.0,28 ,3.0,43.0,614.0,85.0,58.0,2.0,10676.0,903.0,Africa,04-11-2020
Bulgaria,661,26.0,28 ,3.0,62.0,571.0,32.0,95.0,4.0,18502.0,2663.0,Europe,04-11-2020
Latvia,630,18.0,3 ,,16.0,611.0,2.0,334.0,2.0,27796.0,14737.0,Europe,04-11-2020
Cuba,620,56.0,16 ,1.0,77.0,527.0,11.0,55.0,1.0,13162.0,1162.0,North America,04-11-2020
Lebanon,619,10.0,20 ,,77.0,522.0,34.0,91.0,3.0,14055.0,2059.0,Asia,04-11-2020
Cyprus,616,21.0,10 ,,61.0,545.0,8.0,510.0,8.0,17119.0,14179.0,Asia,04-11-2020
Andorra,601,,26 ,,71.0,504.0,17.0,7778.0,337.0,1673.0,21653.0,Europe,04-11-2020
Costa Rica,558,,3 ,,42.0,513.0,13.0,110.0,0.6,6298.0,1236.0,North America,04-11-2020
Afghanistan,555,34.0,18 ,3.0,32.0,505.0,,14.0,0.5,,,Asia,04-11-2020
Oman,546,62.0,3 ,,109.0,434.0,3.0,107.0,0.6,,,Asia,04-11-2020
Uruguay,494,21.0,7 ,,214.0,273.0,15.0,142.0,2.0,7496.0,2158.0,South America,04-11-2020
Bangladesh,482,58.0,30 ,3.0,36.0,416.0,1.0,3.0,0.2,8313.0,50.0,Asia,04-11-2020
Ivory Coast,480,,3 ,,54.0,423.0,,18.0,0.1,,,Africa,04-11-2020
Burkina Faso,448,,26 ,,149.0,273.0,,21.0,1.0,,,Africa,04-11-2020
Niger,438,,11 ,,41.0,386.0,,18.0,0.5,4298.0,178.0,Africa,04-11-2020
Albania,433,17.0,23 ,,197.0,213.0,7.0,150.0,8.0,3644.0,1266.0,Europe,04-11-2020
Ghana,408,30.0,8 ,2.0,4.0,396.0,2.0,13.0,0.3,37405.0,1204.0,Africa,04-11-2020
Channel Islands,398,,9 ,,40.0,349.0,,2289.0,52.0,3320.0,19095.0,Europe,04-11-2020
Honduras,392,10.0,24 ,1.0,7.0,361.0,10.0,40.0,2.0,1600.0,162.0,North America,04-11-2020
Réunion,388,6.0, ,,40.0,348.0,3.0,433.0,,,,Africa,04-11-2020
Taiwan,385,3.0,6 ,,99.0,280.0,,16.0,0.3,45436.0,1908.0,Asia,04-11-2020
Jordan,381,9.0,7 ,,177.0,197.0,5.0,37.0,0.7,17000.0,1666.0,Asia,04-11-2020
Malta,370,20.0,3 ,1.0,16.0,351.0,4.0,838.0,7.0,16016.0,36273.0,Europe,04-11-2020
San Marino,356,12.0,35 ,1.0,53.0,268.0,14.0,10492.0,1032.0,846.0,24933.0,Europe,04-11-2020
Kyrgyzstan,339,41.0,5 ,,44.0,290.0,5.0,52.0,0.8,9618.0,1474.0,Asia,04-11-2020
Mauritius,319,1.0,9 ,,28.0,282.0,3.0,251.0,7.0,6730.0,5292.0,Africa,04-11-2020
Nigeria,305,,7 ,,58.0,240.0,2.0,1.0,0.03,5000.0,24.0,Africa,04-11-2020
Senegal,278,13.0,2 ,,152.0,124.0,1.0,17.0,0.1,,,Africa,04-11-2020
Bolivia,275,7.0,20 ,1.0,2.0,253.0,3.0,24.0,2.0,591.0,51.0,South America,04-11-2020
Palestine,268,1.0,2 ,,46.0,220.0,,53.0,0.4,16992.0,3331.0,Asia,04-11-2020
Montenegro,263,6.0,2 ,,5.0,256.0,7.0,419.0,3.0,2329.0,3708.0,Europe,04-11-2020
Vietnam,258,1.0, ,,144.0,114.0,8.0,3.0,,118807.0,1221.0,Asia,04-11-2020
Georgia,242,8.0,3 ,,60.0,179.0,6.0,61.0,0.8,3271.0,820.0,Asia,04-11-2020
Isle of Man,226,25.0,1 ,,112.0,113.0,11.0,2658.0,12.0,1934.0,22744.0,Europe,04-11-2020
DRC,223,,20 ,,16.0,187.0,,2.0,0.2,,,Africa,04-11-2020
Guinea,212,, ,,15.0,197.0,,16.0,,,,Africa,04-11-2020
Sri Lanka,198,8.0,7 ,,54.0,137.0,5.0,9.0,0.3,3248.0,152.0,Asia,04-11-2020
Mayotte,196,5.0,3 ,1.0,59.0,134.0,3.0,718.0,11.0,1350.0,4948.0,Africa,04-11-2020
Kenya,191,2.0,7 ,,24.0,160.0,2.0,4.0,0.1,6192.0,115.0,Africa,04-11-2020
Djibouti,187,37.0,2 ,1.0,36.0,149.0,,189.0,2.0,4017.0,4066.0,Africa,04-11-2020
Faeroe Islands,184,, ,,145.0,39.0,,3766.0,,5408.0,110677.0,Europe,04-11-2020
Venezuela,175,,9 ,,84.0,82.0,6.0,6.0,0.3,159597.0,5613.0,South America,04-11-2020
Martinique,155,,6 ,,50.0,99.0,19.0,413.0,16.0,,,North America,04-11-2020
Guadeloupe,143,,8 ,,67.0,68.0,13.0,357.0,20.0,,,North America,04-11-2020
Guatemala,137,11.0,3 ,,19.0,115.0,3.0,8.0,0.2,1134.0,63.0,North America,04-11-2020
Brunei ,136,,1 ,,104.0,31.0,2.0,311.0,2.0,9637.0,22028.0,Asia,04-11-2020
Paraguay,133,4.0,6 ,,18.0,109.0,1.0,19.0,0.8,2262.0,317.0,South America,04-11-2020
Gibraltar,129,2.0, ,,84.0,45.0,1.0,3829.0,,1558.0,46244.0,Europe,04-11-2020
Cambodia,120,1.0, ,,75.0,45.0,1.0,7.0,,5768.0,345.0,Asia,04-11-2020
Rwanda,118,, ,,18.0,100.0,,9.0,,806.0,62.0,Africa,04-11-2020
El Salvador,118,1.0,6 ,,19.0,93.0,4.0,18.0,0.9,,,North America,04-11-2020
Trinidad and Tobago,109,,8 ,,3.0,98.0,,78.0,6.0,1090.0,779.0,North America,04-11-2020
Madagascar,102,9.0, ,,11.0,91.0,1.0,4.0,,,,Africa,04-11-2020
Monaco,92,2.0,1 ,,5.0,86.0,4.0,2344.0,25.0,,,Europe,04-11-2020
Aruba,92,6.0, ,,29.0,63.0,,862.0,,1118.0,10471.0,North America,04-11-2020
Mali,87,,7 ,,22.0,58.0,,4.0,0.3,,,Africa,04-11-2020
French Guiana,83,, ,,43.0,40.0,1.0,278.0,,,,South America,04-11-2020
Liechtenstein,79,,1 ,,55.0,23.0,,2072.0,26.0,900.0,23605.0,Europe,04-11-2020
Togo,76,,3 ,,25.0,48.0,,9.0,0.4,2069.0,250.0,Africa,04-11-2020
Ethiopia,69,4.0,3 ,,10.0,56.0,,0.6,0.03,3577.0,31.0,Africa,04-11-2020
Barbados,67,,4 ,,11.0,52.0,4.0,233.0,14.0,736.0,2561.0,North America,04-11-2020
Jamaica,65,2.0,4 ,,13.0,48.0,,22.0,1.0,907.0,306.0,North America,04-11-2020
Congo,60,,5 ,,5.0,50.0,,11.0,0.9,,,Africa,04-11-2020
Uganda,53,, ,,3.0,50.0,,1.0,,4301.0,94.0,Africa,04-11-2020
French Polynesia,51,, ,,,51.0,,182.0,,744.0,2649.0,Australia/Oceania,04-11-2020
Sint Maarten,50,,8 ,,3.0,39.0,2.0,1166.0,187.0,134.0,3125.0,North America,04-11-2020
Liberia,48,11.0,5 ,,3.0,40.0,,9.0,1.0,,,Africa,04-11-2020
Bermuda,48,,4 ,,25.0,19.0,2.0,771.0,64.0,354.0,5684.0,North America,04-11-2020
Gabon,46,2.0,1 ,,1.0,44.0,,21.0,0.4,,,Africa,04-11-2020
Cayman Islands,45,,1 ,,6.0,38.0,,685.0,15.0,479.0,7288.0,North America,04-11-2020
Macao,45,, ,,10.0,35.0,1.0,69.0,,,,Asia,04-11-2020
Bahamas,42,,8 ,,5.0,29.0,1.0,107.0,20.0,,,North America,04-11-2020
Zambia,40,,2 ,,28.0,10.0,1.0,2.0,0.1,1239.0,67.0,Africa,04-11-2020
Guyana,40,3.0,6 ,,8.0,26.0,3.0,51.0,8.0,175.0,222.0,South America,04-11-2020
Guinea-Bissau,38,2.0, ,,,38.0,,19.0,,1500.0,762.0,Africa,04-11-2020
Benin,35,,1 ,,5.0,29.0,,3.0,0.08,,,Africa,04-11-2020
Eritrea,34,, ,,,34.0,,10.0,,,,Africa,04-11-2020
Tanzania,32,,3 ,,5.0,24.0,,0.5,0.05,,,Africa,04-11-2020
Saint Martin,32,,2 ,,11.0,19.0,5.0,828.0,52.0,,,North America,04-11-2020
Myanmar,31,4.0,3 ,,2.0,26.0,,0.6,0.06,1406.0,26.0,Asia,04-11-2020
Haiti,31,,2 ,,,29.0,,3.0,0.2,365.0,32.0,North America,04-11-2020
Syria,25,6.0,5 ,3.0,5.0,15.0,,1.0,0.3,,,Asia,04-11-2020
Libya,24,,1 ,,8.0,15.0,,3.0,0.1,492.0,72.0,Africa,04-11-2020
Antigua and Barbuda,21,,2 ,,,19.0,1.0,214.0,20.0,40.0,408.0,North America,04-11-2020
Somalia,21,,1 ,,1.0,19.0,,1.0,0.06,,,Africa,04-11-2020
Mozambique,20,, ,,2.0,18.0,,0.6,,551.0,18.0,Africa,04-11-2020
Sudan,19,2.0,2 ,,2.0,15.0,,0.4,0.05,,,Africa,04-11-2020
Angola,19,,2 ,,2.0,15.0,,0.6,0.06,,,Africa,04-11-2020
Maldives,19,, ,,13.0,6.0,,35.0,,,,Asia,04-11-2020
Laos,18,2.0, ,,,18.0,,2.0,,1094.0,150.0,Asia,04-11-2020
New Caledonia,18,, ,,1.0,17.0,,63.0,,2608.0,9135.0,Australia/Oceania,04-11-2020
Equatorial Guinea,18,, ,,3.0,15.0,,13.0,,854.0,609.0,Africa,04-11-2020
Dominica,16,, ,,5.0,11.0,,222.0,,309.0,4293.0,North America,04-11-2020
Fiji,16,, ,,,16.0,,18.0,,,,Australia/Oceania,04-11-2020
Mongolia,16,, ,,4.0,12.0,,5.0,,,,Asia,04-11-2020
Namibia,16,, ,,3.0,13.0,,6.0,,362.0,142.0,Africa,04-11-2020
Saint Lucia,15,, ,,1.0,14.0,,82.0,,,,North America,04-11-2020
Curaçao,14,,1 ,,7.0,6.0,,85.0,6.0,,,North America,04-11-2020
Grenada,14,, ,,,14.0,2.0,124.0,,92.0,818.0,North America,04-11-2020
Botswana,13,,1 ,,,12.0,,6.0,0.4,2527.0,1075.0,Africa,04-11-2020
Belize,13,3.0,2 ,,,11.0,1.0,33.0,5.0,364.0,915.0,North America,04-11-2020
Zimbabwe,13,,3 ,,,10.0,,0.9,0.2,438.0,29.0,Africa,04-11-2020
Malawi,12,3.0,2 ,1.0,,10.0,1.0,0.6,0.1,231.0,12.0,Africa,04-11-2020
Saint Kitts and Nevis,12,, ,,,12.0,,226.0,,205.0,3853.0,North America,04-11-2020
St. Vincent Grenadines,12,, ,,1.0,11.0,,108.0,,56.0,505.0,North America,04-11-2020
Eswatini,12,, ,,7.0,5.0,,10.0,,,,Africa,04-11-2020
Chad,11,, ,,2.0,9.0,,0.7,,,,Africa,04-11-2020
Greenland,11,, ,,11.0,0.0,,194.0,,770.0,13564.0,North America,04-11-2020
Seychelles,11,, ,,,11.0,,112.0,,,,Africa,04-11-2020
Suriname,10,,1 ,,4.0,5.0,,17.0,2.0,,,South America,04-11-2020
Montserrat,9,, ,,,9.0,1.0,1803.0,,36.0,7212.0,North America,04-11-2020
Nepal,9,, ,,1.0,8.0,,0.3,,3524.0,121.0,Asia,04-11-2020
MS Zaandam,9,,2 ,,,7.0,,,,,,,04-11-2020
Vatican City,8,, ,,2.0,6.0,,9988.0,,,,Europe,04-11-2020
Nicaragua,8,1.0,1 ,,,7.0,,1.0,0.2,,,North America,04-11-2020
Sierra Leone,8,, ,,,8.0,,1.0,,,,Africa,04-11-2020
Cabo Verde,8,1.0,1 ,,1.0,6.0,,14.0,2.0,,,Africa,04-11-2020
CAR,8,, ,,,8.0,,2.0,,,,Africa,04-11-2020
Turks and Caicos,8,,1 ,,,7.0,,207.0,26.0,61.0,1576.0,North America,04-11-2020
Mauritania,7,,1 ,,2.0,4.0,,2.0,0.2,380.0,82.0,Africa,04-11-2020
St. Barth,6,, ,,1.0,5.0,,607.0,,,,North America,04-11-2020
Bhutan,5,, ,,2.0,3.0,,6.0,,1166.0,1511.0,Asia,04-11-2020
Burundi,5,2.0, ,,,5.0,,0.4,,,,Africa,04-11-2020
Falkland Islands,5,, ,,1.0,4.0,,1437.0,,137.0,39368.0,South America,04-11-2020
South Sudan,4,, ,,,4.0,,0.4,,,,Africa,04-11-2020
Western Sahara,4,, ,,,4.0,,7.0,,,,Africa,04-11-2020
Sao Tome and Principe,4,, ,,,4.0,,18.0,,19.0,87.0,Africa,04-11-2020
Gambia,4,,1 ,,2.0,1.0,,2.0,0.4,,,Africa,04-11-2020
Anguilla,3,, ,,,3.0,,200.0,,,,North America,04-11-2020
British Virgin Islands,3,, ,,2.0,1.0,,99.0,,,,North America,04-11-2020
Caribbean Netherlands,2,, ,,,2.0,,76.0,,10.0,381.0,North America,04-11-2020
Papua New Guinea,2,, ,,,2.0,,0.2,,72.0,8.0,Australia/Oceania,04-11-2020
Timor-Leste,2,, ,,1.0,1.0,,2.0,,,,Asia,04-11-2020
Saint Pierre Miquelon,1,, ,,,1.0,,173.0,,,,North America,04-11-2020
Yemen,1,, ,,,1.0,,0.03,,,,Asia,04-11-2020
World,1835405,55662.0,113190,4411.0,420510.0,1301705.0,50654.0,235.0,14.5,,,All,04-12-2020
USA,550076,17197.0,21648 ,1071.0,31120.0,497308.0,11662.0,1662.0,65.0,2765706.0,8356.0,North America,04-12-2020
Spain,166019,2992.0,16972 ,366.0,62391.0,86656.0,7371.0,3551.0,363.0,355000.0,7593.0,Europe,04-12-2020
Italy,156363,4092.0,19899 ,431.0,34211.0,102253.0,3343.0,2586.0,329.0,1010193.0,16708.0,Europe,04-12-2020
France,132591,2937.0,14393 ,561.0,27186.0,91012.0,6845.0,2031.0,221.0,333807.0,5114.0,Europe,04-12-2020
Germany,126656,1204.0,2908 ,37.0,60300.0,63448.0,4895.0,1512.0,35.0,1317887.0,15730.0,Europe,04-12-2020
UK,84279,5288.0,10612 ,737.0,344.0,73323.0,1559.0,1241.0,156.0,352974.0,5200.0,Europe,04-12-2020
China,82052,99.0,3339 ,,77575.0,1138.0,139.0,57.0,2.0,,,Asia,04-12-2020
Iran,71686,1657.0,4474 ,117.0,43894.0,23318.0,3930.0,853.0,53.0,263388.0,3136.0,Asia,04-12-2020
Turkey,56956,4789.0,1198 ,97.0,3446.0,52312.0,1665.0,675.0,14.0,376100.0,4459.0,Asia,04-12-2020
Belgium,29647,1629.0,3600 ,254.0,6463.0,19584.0,1223.0,2558.0,311.0,102151.0,8814.0,Europe,04-12-2020
Netherlands,25587,1174.0,2737 ,94.0,250.0,22600.0,1384.0,1493.0,160.0,101534.0,5926.0,Europe,04-12-2020
Switzerland,25407,300.0,1106 ,70.0,12700.0,11601.0,386.0,2936.0,128.0,193800.0,22393.0,Europe,04-12-2020
Canada,23738,420.0,674 ,21.0,6661.0,16403.0,557.0,629.0,18.0,401552.0,10639.0,North America,04-12-2020
Brazil,21065,103.0,1144 ,4.0,173.0,19748.0,296.0,99.0,5.0,62985.0,296.0,South America,04-12-2020
Portugal,16585,598.0,504 ,34.0,277.0,15804.0,228.0,1627.0,49.0,163616.0,16046.0,Europe,04-12-2020
Russia,15770,2186.0,130 ,24.0,1291.0,14349.0,8.0,108.0,0.9,1200000.0,8223.0,Europe,04-12-2020
Austria,13945,139.0,350 ,13.0,6987.0,6608.0,243.0,1548.0,39.0,144877.0,16086.0,Europe,04-12-2020
Israel,10878,135.0,103 ,2.0,1388.0,9387.0,174.0,1257.0,12.0,117339.0,13557.0,Asia,04-12-2020
S. Korea,10512,32.0,214 ,3.0,7368.0,2930.0,55.0,205.0,4.0,514621.0,10038.0,Asia,04-12-2020
Sweden,10483,332.0,899 ,12.0,381.0,9203.0,839.0,1038.0,89.0,54700.0,5416.0,Europe,04-12-2020
Ireland,9655,727.0,334 ,14.0,25.0,9296.0,194.0,1955.0,68.0,53000.0,10734.0,Europe,04-12-2020
India,9166,720.0,325 ,37.0,1061.0,7780.0,,7.0,0.2,189111.0,137.0,Asia,04-12-2020
Ecuador,7466,209.0,333 ,18.0,501.0,6632.0,184.0,423.0,19.0,23635.0,1340.0,South America,04-12-2020
Chile,7213,286.0,80 ,7.0,2059.0,5074.0,387.0,377.0,4.0,82271.0,4304.0,South America,04-12-2020
Peru,6848,,181 ,,1739.0,4928.0,142.0,208.0,5.0,67712.0,2054.0,South America,04-12-2020
Japan,6748,,108 ,,762.0,5878.0,117.0,53.0,0.9,68771.0,544.0,Asia,04-12-2020
Poland,6674,318.0,232 ,24.0,439.0,6003.0,160.0,176.0,6.0,138007.0,3646.0,Europe,04-12-2020
Norway,6485,76.0,126 ,7.0,32.0,6327.0,59.0,1196.0,23.0,126486.0,23332.0,Europe,04-12-2020
Australia,6313,10.0,59 ,3.0,3338.0,2916.0,81.0,248.0,2.0,353941.0,13880.0,Australia/Oceania,04-12-2020
Romania,6300,310.0,316 ,25.0,852.0,5132.0,204.0,327.0,16.0,62328.0,3240.0,Europe,04-12-2020
Denmark,6174,178.0,273 ,13.0,2123.0,3778.0,104.0,1066.0,47.0,70125.0,12107.0,Europe,04-12-2020
Czechia,5952,50.0,138 ,9.0,464.0,5350.0,87.0,556.0,13.0,125126.0,11684.0,Europe,04-12-2020
Pakistan,5230,219.0,91 ,5.0,1028.0,4111.0,37.0,24.0,0.4,61801.0,280.0,Asia,04-12-2020
Malaysia,4683,153.0,76 ,3.0,2108.0,2499.0,66.0,145.0,2.0,71897.0,2221.0,Asia,04-12-2020
Philippines,4648,220.0,297 ,50.0,197.0,4154.0,1.0,42.0,3.0,33814.0,309.0,Asia,04-12-2020
Saudi Arabia,4462,429.0,59 ,7.0,761.0,3642.0,67.0,128.0,2.0,115585.0,3320.0,Asia,04-12-2020
Indonesia,4241,399.0,373 ,46.0,359.0,3509.0,,16.0,1.0,27075.0,99.0,Asia,04-12-2020
Mexico,4219,375.0,273 ,40.0,1772.0,2174.0,89.0,33.0,2.0,35479.0,275.0,North America,04-12-2020
UAE,3736,,20 ,,588.0,3128.0,1.0,378.0,2.0,648195.0,65538.0,Asia,04-12-2020
Serbia,3630,250.0,80 ,6.0,400.0,3150.0,146.0,415.0,9.0,18312.0,2096.0,Europe,04-12-2020
Luxembourg,3281,11.0,66 ,4.0,500.0,2715.0,30.0,5241.0,105.0,29165.0,46591.0,Europe,04-12-2020
