Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,35-44 years,0
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,45-54 years,
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,55-64 years,
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,65-74 years,
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,75-84 years,
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,85 years and over,0
08/12/2020,02/01/2020,08/08/2020,Alaska,Female,All ages,
08/12/2020,02/01/2020,08/08/2020,Alaska,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Alaska Total,All,All ages,17
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,1-4 years,
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,5-14 years,
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,15-24 years,11
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,25-34 years,40
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,35-44 years,77
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,45-54 years,168
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,55-64 years,356
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,65-74 years,485
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,75-84 years,574
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,85 years and over,426
08/12/2020,02/01/2020,08/08/2020,Arizona,Male,All ages,2141
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,25-34 years,20
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,35-44 years,38
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,45-54 years,72
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,55-64 years,214
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,65-74 years,326
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,75-84 years,417
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,85 years and over,478
08/12/2020,02/01/2020,08/08/2020,Arizona,Female,All ages,1569
08/12/2020,02/01/2020,08/08/2020,Arizona,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Arizona Total,All,All ages,3710
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,45-54 years,28
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,55-64 years,59
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,65-74 years,61
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,75-84 years,80
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,85 years and over,50
08/12/2020,02/01/2020,08/08/2020,Arkansas,Male,All ages,289
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,45-54 years,12
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,55-64 years,27
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,65-74 years,34
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,75-84 years,58
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,85 years and over,95
08/12/2020,02/01/2020,08/08/2020,Arkansas,Female,All ages,241
08/12/2020,02/01/2020,08/08/2020,Arkansas,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Arkansas Total,All,All ages,530
08/12/2020,02/01/2020,08/08/2020,California,Male,Under 1 year,
08/12/2020,02/01/2020,08/08/2020,California,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,California,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,California,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,California,Male,25-34 years,67
08/12/2020,02/01/2020,08/08/2020,California,Male,35-44 years,190
08/12/2020,02/01/2020,08/08/2020,California,Male,45-54 years,457
08/12/2020,02/01/2020,08/08/2020,California,Male,55-64 years,947
08/12/2020,02/01/2020,08/08/2020,California,Male,65-74 years,1351
08/12/2020,02/01/2020,08/08/2020,California,Male,75-84 years,1284
08/12/2020,02/01/2020,08/08/2020,California,Male,85 years and over,1154
08/12/2020,02/01/2020,08/08/2020,California,Male,All ages,5460
08/12/2020,02/01/2020,08/08/2020,California,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,California,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,California,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,California,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,California,Female,25-34 years,30
08/12/2020,02/01/2020,08/08/2020,California,Female,35-44 years,82
08/12/2020,02/01/2020,08/08/2020,California,Female,45-54 years,182
08/12/2020,02/01/2020,08/08/2020,California,Female,55-64 years,383
08/12/2020,02/01/2020,08/08/2020,California,Female,65-74 years,695
08/12/2020,02/01/2020,08/08/2020,California,Female,75-84 years,1009
08/12/2020,02/01/2020,08/08/2020,California,Female,85 years and over,1617
08/12/2020,02/01/2020,08/08/2020,California,Female,All ages,4007
08/12/2020,02/01/2020,08/08/2020,California,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,California Total,All,All ages,9467
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,35-44 years,17
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,45-54 years,61
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,55-64 years,126
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,65-74 years,222
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,75-84 years,273
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,85 years and over,281
08/12/2020,02/01/2020,08/08/2020,Colorado,Male,All ages,990
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,45-54 years,20
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,55-64 years,43
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,65-74 years,120
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,75-84 years,209
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,85 years and over,364
08/12/2020,02/01/2020,08/08/2020,Colorado,Female,All ages,766
08/12/2020,02/01/2020,08/08/2020,Colorado,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Colorado Total,All,All ages,1756
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,35-44 years,19
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,45-54 years,71
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,55-64 years,224
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,65-74 years,447
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,75-84 years,557
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,85 years and over,701
08/12/2020,02/01/2020,08/08/2020,Connecticut,Male,All ages,2029
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,45-54 years,26
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,55-64 years,121
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,65-74 years,280
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,75-84 years,555
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,85 years and over,1203
08/12/2020,02/01/2020,08/08/2020,Connecticut,Female,All ages,2199
08/12/2020,02/01/2020,08/08/2020,Connecticut,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Connecticut Total,All,All ages,4228
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,45-54 years,10
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,55-64 years,30
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,65-74 years,69
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,75-84 years,70
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,85 years and over,64
08/12/2020,02/01/2020,08/08/2020,Delaware,Male,All ages,250
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,45-54 years,15
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,55-64 years,22
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,65-74 years,42
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,75-84 years,68
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,85 years and over,129
08/12/2020,02/01/2020,08/08/2020,Delaware,Female,All ages,283
08/12/2020,02/01/2020,08/08/2020,Delaware,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Delaware Total,All,All ages,533
