Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,5-14 years,
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,25-34 years,42
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,35-44 years,122
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,45-54 years,293
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,55-64 years,590
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,65-74 years,968
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,75-84 years,990
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,85 years and over,807
08/12/2020,02/01/2020,08/08/2020,Illinois,Male,All ages,3821
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,Under 1 year,
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,25-34 years,19
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,35-44 years,45
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,45-54 years,115
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,55-64 years,306
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,65-74 years,543
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,75-84 years,762
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,85 years and over,1353
08/12/2020,02/01/2020,08/08/2020,Illinois,Female,All ages,3150
08/12/2020,02/01/2020,08/08/2020,Illinois,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Illinois Total,All,All ages,6971
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,1-4 years,
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,25-34 years,10
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,35-44 years,15
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,45-54 years,50
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,55-64 years,179
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,65-74 years,392
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,75-84 years,418
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,85 years and over,401
08/12/2020,02/01/2020,08/08/2020,Indiana,Male,All ages,1467
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,35-44 years,15
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,45-54 years,34
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,55-64 years,103
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,65-74 years,227
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,75-84 years,419
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,85 years and over,643
08/12/2020,02/01/2020,08/08/2020,Indiana,Female,All ages,1444
08/12/2020,02/01/2020,08/08/2020,Indiana,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Indiana Total,All,All ages,2911
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,45-54 years,27
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,55-64 years,76
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,65-74 years,117
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,75-84 years,112
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,85 years and over,140
08/12/2020,02/01/2020,08/08/2020,Iowa,Male,All ages,485
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,Under 1 year,
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,45-54 years,10
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,55-64 years,45
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,65-74 years,78
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,75-84 years,103
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,85 years and over,172
08/12/2020,02/01/2020,08/08/2020,Iowa,Female,All ages,419
08/12/2020,02/01/2020,08/08/2020,Iowa,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Iowa Total,All,All ages,904
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,45-54 years,14
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,55-64 years,38
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,65-74 years,46
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,75-84 years,56
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,85 years and over,50
08/12/2020,02/01/2020,08/08/2020,Kansas,Male,All ages,215
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,45-54 years,
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,55-64 years,18
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,65-74 years,26
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,75-84 years,34
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,85 years and over,84
08/12/2020,02/01/2020,08/08/2020,Kansas,Female,All ages,170
08/12/2020,02/01/2020,08/08/2020,Kansas,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Kansas Total,All,All ages,385
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,35-44 years,11
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,45-54 years,17
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,55-64 years,45
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,65-74 years,106
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,75-84 years,80
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,85 years and over,78
08/12/2020,02/01/2020,08/08/2020,Kentucky,Male,All ages,339
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,45-54 years,12
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,55-64 years,36
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,65-74 years,59
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,75-84 years,102
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,85 years and over,196
08/12/2020,02/01/2020,08/08/2020,Kentucky,Female,All ages,408
08/12/2020,02/01/2020,08/08/2020,Kentucky,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Kentucky Total,All,All ages,747
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,1-4 years,
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,5-14 years,
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,25-34 years,11
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,35-44 years,47
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,45-54 years,124
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,55-64 years,285
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,65-74 years,468
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,75-84 years,553
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,85 years and over,381
08/12/2020,02/01/2020,08/08/2020,Louisiana,Male,All ages,1876
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,Under 1 year,
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,25-34 years,13
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,35-44 years,38
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,45-54 years,76
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,55-64 years,212
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,65-74 years,301
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,75-84 years,479
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,85 years and over,544
08/12/2020,02/01/2020,08/08/2020,Louisiana,Female,All ages,1666
08/12/2020,02/01/2020,08/08/2020,Louisiana,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Louisiana Total,All,All ages,3542
08/12/2020,02/01/2020,08/08/2020,Maine,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Maine,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Maine,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Maine,Male,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Maine,Male,25-34 years,0
08/12/2020,02/01/2020,08/08/2020,Maine,Male,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Maine,Male,45-54 years,
08/12/2020,02/01/2020,08/08/2020,Maine,Male,55-64 years,
08/12/2020,02/01/2020,08/08/2020,Maine,Male,65-74 years,17
08/12/2020,02/01/2020,08/08/2020,Maine,Male,75-84 years,20
08/12/2020,02/01/2020,08/08/2020,Maine,Male,85 years and over,19
08/12/2020,02/01/2020,08/08/2020,Maine,Male,All ages,66
08/12/2020,02/01/2020,08/08/2020,Maine,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Maine,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Maine,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Maine,Female,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Maine,Female,25-34 years,0
08/12/2020,02/01/2020,08/08/2020,Maine,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Maine,Female,45-54 years,
08/12/2020,02/01/2020,08/08/2020,Maine,Female,55-64 years,
08/12/2020,02/01/2020,08/08/2020,Maine,Female,65-74 years,
08/12/2020,02/01/2020,08/08/2020,Maine,Female,75-84 years,22
08/12/2020,02/01/2020,08/08/2020,Maine,Female,85 years and over,37
08/12/2020,02/01/2020,08/08/2020,Maine,Female,All ages,73
08/12/2020,02/01/2020,08/08/2020,Maine,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Maine Total,All,All ages,139
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,25-34 years,27
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,35-44 years,61
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,45-54 years,118
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,55-64 years,302
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,65-74 years,419
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,75-84 years,551
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,85 years and over,465
08/12/2020,02/01/2020,08/08/2020,Maryland,Male,All ages,1947
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,35-44 years,22
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,45-54 years,72
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,55-64 years,165
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,65-74 years,332
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,75-84 years,494
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,85 years and over,779
08/12/2020,02/01/2020,08/08/2020,Maryland,Female,All ages,1875
08/12/2020,02/01/2020,08/08/2020,Maryland,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Maryland Total,All,All ages,3822
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,25-34 years,12
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,35-44 years,30
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,45-54 years,96
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,55-64 years,334
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,65-74 years,723
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,75-84 years,1124
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,85 years and over,1358
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Male,All ages,3682
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,35-44 years,13
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,45-54 years,64
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,55-64 years,198
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,65-74 years,485
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,75-84 years,1034
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,85 years and over,2388
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Female,All ages,4190
08/12/2020,02/01/2020,08/08/2020,Massachusetts,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Massachusetts Total,All,All ages,7872
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,25-34 years,27
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,35-44 years,58
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,45-54 years,208
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,55-64 years,436
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,65-74 years,811
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,75-84 years,840
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,85 years and over,655
08/12/2020,02/01/2020,08/08/2020,Michigan,Male,All ages,3038
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,5-14 years,
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,25-34 years,13
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,35-44 years,34
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,45-54 years,119
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,55-64 years,279
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,65-74 years,578
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,75-84 years,692
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,85 years and over,1064
08/12/2020,02/01/2020,08/08/2020,Michigan,Female,All ages,2784
08/12/2020,02/01/2020,08/08/2020,Michigan,Unknown,All ages,
08/12/2020,02/01/2020,08/08/2020,Michigan Total,All,All ages,5823
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,45-54 years,27
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,55-64 years,83
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,65-74 years,149
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,75-84 years,233
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,85 years and over,275
08/12/2020,02/01/2020,08/08/2020,Minnesota,Male,All ages,780
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,Under 1 year,
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,45-54 years,15
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,55-64 years,42
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,65-74 years,117
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,75-84 years,202
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,85 years and over,447
08/12/2020,02/01/2020,08/08/2020,Minnesota,Female,All ages,832
08/12/2020,02/01/2020,08/08/2020,Minnesota,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Minnesota Total,All,All ages,1612
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,35-44 years,24
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,45-54 years,60
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,55-64 years,130
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,65-74 years,217
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,75-84 years,220
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,85 years and over,139
08/12/2020,02/01/2020,08/08/2020,Mississippi,Male,All ages,800
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,35-44 years,21
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,45-54 years,58
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,55-64 years,129
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,65-74 years,163
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,75-84 years,206
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,85 years and over,259
08/12/2020,02/01/2020,08/08/2020,Mississippi,Female,All ages,846
08/12/2020,02/01/2020,08/08/2020,Mississippi,Unknown,All ages,
08/12/2020,02/01/2020,08/08/2020,Mississippi Total,All,All ages,1647
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,45-54 years,28
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,55-64 years,78
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,65-74 years,145
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,75-84 years,174
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,85 years and over,163
08/12/2020,02/01/2020,08/08/2020,Missouri,Male,All ages,595
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,15-24 years,
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,45-54 years,16
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,55-64 years,45
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,65-74 years,102
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,75-84 years,148
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,85 years and over,297
08/12/2020,02/01/2020,08/08/2020,Missouri,Female,All ages,619
08/12/2020,02/01/2020,08/08/2020,Missouri,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Missouri Total,All,All ages,1214
08/12/2020,02/01/2020,08/08/2020,Montana,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Montana,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Montana,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Montana,Male,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Montana,Male,25-34 years,0
08/12/2020,02/01/2020,08/08/2020,Montana,Male,35-44 years,0
08/12/2020,02/01/2020,08/08/2020,Montana,Male,45-54 years,
08/12/2020,02/01/2020,08/08/2020,Montana,Male,55-64 years,
08/12/2020,02/01/2020,08/08/2020,Montana,Male,65-74 years,
08/12/2020,02/01/2020,08/08/2020,Montana,Male,75-84 years,10
08/12/2020,02/01/2020,08/08/2020,Montana,Male,85 years and over,
08/12/2020,02/01/2020,08/08/2020,Montana,Male,All ages,23
08/12/2020,02/01/2020,08/08/2020,Montana,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Montana,Female,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Montana,Female,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Montana,Female,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Montana,Female,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Montana,Female,35-44 years,0
08/12/2020,02/01/2020,08/08/2020,Montana,Female,45-54 years,0
08/12/2020,02/01/2020,08/08/2020,Montana,Female,55-64 years,
08/12/2020,02/01/2020,08/08/2020,Montana,Female,65-74 years,
08/12/2020,02/01/2020,08/08/2020,Montana,Female,75-84 years,
08/12/2020,02/01/2020,08/08/2020,Montana,Female,85 years and over,13
08/12/2020,02/01/2020,08/08/2020,Montana,Female,All ages,27
08/12/2020,02/01/2020,08/08/2020,Montana,Unknown,All ages,0
08/12/2020,02/01/2020,08/08/2020,Montana Total,All,All ages,50
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,1-4 years,0
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,5-14 years,0
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,15-24 years,0
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,25-34 years,
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,35-44 years,
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,45-54 years,14
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,55-64 years,28
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,65-74 years,46
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,75-84 years,43
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,85 years and over,34
08/12/2020,02/01/2020,08/08/2020,Nebraska,Male,All ages,173
08/12/2020,02/01/2020,08/08/2020,Nebraska,Female,Under 1 year,0
08/12/2020,02/01/2020,08/08/2020,Nebraska,Female,1-4 years,0
